Name,points,tmin,tmax,tavg,tstd,tmode,tmodeCount,tQ1,tQ25,tQ75,tQ9,tskew,tMAD,dmin,dmax,davg,dstd,dmode,dmodeCount,dQ1,dQ25,dQ75,dQ9,dIQ,dskew,dMAD,Vmin,Vmax,Vavg,Vstd,Vmode,VmodeCount,VQ1,VQ25,VQ75,VQ9,VIQ,Vskew,VMAD
3380-20131122155051.txt,570,1.0,3.0,2.5184534270650265,0.8321909159502935,3.,421,1.0,2.0,3.0,3.0,-1.21121462666,0.0,0.16251128120719818,460.2215125235293,79.28298190802813,63.91906545366938,0.16251128,1,9.1755902654611,20.96245036583767,103.05921700547874,124.76277461213138,0.6619550307596358,2.17287134302,41.02280667834568,0.394475890132395,7.1509246684415215,3.2062302132234635,0.936237119605437,0.39447589,1,2.5245883998079597,2.9648235061165598,3.4181269254806153,3.8339459238447002,0.07101785047868961,0.581893095705,0.32489361957281293
3381-20131211200843.txt,905,1.0,3.0,2.441371681415929,0.7473350138424347,3.,540,1.0,2.0,3.0,3.0,-0.920335841964,0.0,0.02779694413802601,881.9453694188132,99.98461459600792,112.96790285090201,0.02779694,1,3.908504780389679,16.833757045396926,137.49009044943415,251.44010323453185,0.7818385516086779,1.89837658779,78.02930739021556,0.11714921901980409,9.936399545563935,3.5790327404588465,2.03665427502254,0.11714922,1,0.8545995606043095,2.064547958438633,4.671607242701114,6.4899370913545,0.3870248244608988,0.545318149836,1.9614498650602028
3382-20131119191621.txt,1289,1.0,3.0,2.4456521739130435,0.8552884679972383,3.,886,1.0,2.0,3.0,3.0,-0.992337659181,0.0,0.07239961426348138,417.52439746348233,64.9890528761739,46.24101472566856,0.07239961,1,9.009752728619166,10.84814130058984,87.50545600527526,99.21436917002221,0.7794052968524632,1.56381127531,26.186644996696415,0.25027780255842175,6.811137916542632,3.0403449622457495,0.6392126137366291,0.2502778,1,2.619437719778355,2.8949879910226017,3.191789930479448,3.4160520135437484,0.04876174936633861,0.176648407948,0.2258198841336834
3383-20131112193526.txt,1347,1.0,3.0,2.428677563150074,0.8754761158745966,3.,928,1.0,1.0,3.0,3.0,-0.947501526002,0.0,0.12185351855588711,490.4925584749253,66.09879173437689,52.99933236252966,0.12185352,1,9.042003332624283,10.785777040439473,90.52000336660947,100.3208832984645,0.7870649236973059,2.60638495392,28.033178089939412,0.3269631414394224,7.382355529496029,3.0575363885713807,0.7094796107003177,0.32696314,1,2.5939345345601303,2.904716859135176,3.2261386007019537,3.453118562189712,0.052426899259392507,0.799669530587,0.23632302393418447
3384-20131105202745.txt,891,1.0,3.0,2.4303370786516854,0.8780602337074788,3.,617,1.0,1.0,3.0,3.0,-0.952343982226,0.0,0.2341739813056343,402.83038069434065,67.51653378824888,50.423311099550084,0.23417398,1,8.973139036590549,10.541527381272982,89.96152117990762,104.40493981168842,0.7902247238827607,1.83794096297,23.95451078024798,0.3159037120998606,6.690211595178442,3.100778620267881,0.6572853929074095,0.31590371,1,2.7647690447943445,2.934598146077383,3.2024916721298844,3.4948809045891567,0.04365155700633971,0.696441246766,0.20017275814248137
3385-20131212183522.txt,1328,1.0,3.0,2.5516201959306706,0.7284787219705116,3.,920,1.0,2.0,3.0,3.0,-1.27895950006,0.0,0.0,767.5731242792027,51.51786280192877,85.64997086086288,0.,20,0.761024924725463,7.302136169707868,59.365956256347744,129.13444629445814,0.7809405997987127,3.81698315472,27.50064722648691,0.0,9.65530613061832,2.2915907938116926,1.7345068097753467,0.,20,0.3889232784192783,1.0926881461496225,3.193879296701067,4.671703843346321,0.4901803549261534,1.28435557971,1.3971398033046714
3386-20131024192345.txt,343,1.0,3.0,2.611111111111111,0.7594969437314163,3.,267,1.0,3.0,3.0,3.0,-1.5399153475,0.0,0.06759314972758046,504.58283747089035,92.0375122455211,75.7547536871243,0.06759315,1,9.314358166479025,39.20009383431062,117.32103683876848,135.5709736717745,0.49910796496625554,2.36504284381,42.82252546763205,0.25998682606543827,9.057992363621675,3.3225606054695604,1.1263579420747774,0.25998683,1,2.5572047543480143,3.025469859900784,3.691179219545473,4.173882055773609,0.09911331554924291,0.625974439292,0.4752835205156517
3389-20131211184445.txt,1222,1.0,3.0,2.732186732186732,0.6174006045434616,3.,1007,2.0,3.0,3.0,3.0,-2.11448545619,0.0,0.0,737.1977360124249,96.28157087382205,91.58054016063753,0.,11,4.471942008283968,17.246966945732243,121.37370340506627,152.38100215577342,0.7511631288164103,2.46749755782,47.88923147682431,0.0,9.6015496010127,3.1942619411012236,1.5972181694793988,0.,11,0.773986273419036,2.9063451015125676,3.784828022224534,4.572896279128884,0.131289820853017,0.215836694639,0.6447756970224953
3390-20131212141847.txt,1533,1.0,3.0,2.41710182767624,0.8153520168014198,3.,962,1.0,2.0,3.0,3.0,-0.899057129198,0.0,0.0,486.1786977537508,44.48272572327074,55.743739219526574,0.,5,1.7241967165745988,6.2834312092679125,62.93721594105256,113.9743029611512,0.8184521102317136,2.39465582682,31.801919707653234,0.0,9.883104416071298,2.404628861074189,1.6091913643503006,0.,5,0.5506781097604001,1.2311195307354639,3.064618953851996,4.384650721873432,0.4268182129091156,1.39533104844,1.360660648368728
3391-20131209205627.txt,906,1.0,3.0,2.510497237569061,0.726871960304875,3.,588,1.0,2.0,3.0,3.0,-1.12409520762,0.0,0.15660035724940546,510.06287968856185,87.80422178219109,84.2030934493933,0.15660036,1,4.841566923038312,28.85871219565917,112.2240351054505,197.6348462428895,0.5908966511111854,1.72567320709,62.79520155119967,0.39572763013138906,9.910776116775585,3.4178249645951984,1.6401367035221999,0.39572763,1,0.9030434305441055,2.647974491460901,4.192732592567534,5.566369808152558,0.22581848369349242,0.532703960245,1.159175059632206
3392-20131208142948.txt,949,1.0,3.0,2.5928270042194095,0.7121839173259786,3.,688,1.0,2.0,3.0,3.0,-1.43283573837,0.0,0.0,721.7118850143472,50.705543525288604,63.26575604032489,0.,2,5.087758116752523,19.16704923349832,64.06990124935368,90.257147932414,0.5394581583704943,6.29083258193,33.19359067790846,0.0,9.793736530117876,2.4573501072165684,1.0781664308911385,0.,2,1.3734627396308343,1.879083947659912,2.884372622295354,3.513007193516734,0.2110418474215002,1.96261974932,0.7500106531869
