Name,logn,logq,points,RealRes,result,error,tinit,tcsv,tenc,tdist,tdec
1050-20131212174339.txt,13,208,1482,15059.866153,15064.205157,0.028812,986.005053,4.032124,16.519087,150.799738,5.542380
1051-20131202200053.txt,13,208,484,4589.132352,4541.244364,-1.043509,1021.280701,2.083255,16.158264,145.533868,5.195085
1052-20131204202616.txt,13,208,1030,10022.133936,10142.324618,1.199252,930.781264,5.042121,15.275454,179.480845,4.923452
1053-20131207101518.txt,13,208,1625,13623.158146,14191.757848,4.173773,914.894999,3.784844,16.210364,163.783743,5.537487
1054-20131212182010.txt,13,208,1003,8086.567308,8101.110654,0.179846,942.062488,2.692668,16.098226,153.031874,5.286459
1055-20131209195917.txt,13,208,975,10007.683379,9978.499500,-0.291615,964.338890,2.987540,16.643694,157.927187,5.691477
1056-20131210203610.txt,13,208,556,4973.692066,4996.350212,0.455560,963.567526,3.196320,15.262713,157.450047,6.504169
1057-20131212190003.txt,13,208,1109,10341.650497,10375.006773,0.322543,954.996741,3.737162,14.601039,148.733087,5.463873
1060-20131212181306.txt,13,208,1309,5401.292589,5971.936702,10.564955,945.439720,3.133280,18.510526,157.026843,4.892682
1062-20131210170507.txt,13,208,518,4020.057774,4038.712447,0.464040,887.439909,1.871651,27.698559,164.726313,5.752698
1063-20131212170830.txt,13,208,1083,8602.320500,8526.354613,-0.883086,959.231569,4.320379,20.355037,175.453820,5.693172
1067-20131212152423.txt,13,208,1161,10123.924254,10191.423081,0.666726,972.984971,3.954867,17.051679,145.019848,5.105129
1068-20131212190440.txt,13,208,725,5726.922594,5719.015785,-0.138064,895.273115,2.318398,16.158286,155.309326,5.630550
1069-20131207094103.txt,13,208,1207,7674.264078,9451.010549,23.152011,901.885063,3.725168,15.329208,157.715637,6.580843
1071-20131212182952.txt,13,208,945,788.717215,3869.622162,390.622252,900.508408,5.099774,15.499710,154.741765,5.187318
107-20131212080945.txt,13,208,1340,17540.091721,17827.468350,1.638399,900.278593,3.460376,14.979652,152.784217,5.538178
1072-20131212184121.txt,13,208,990,7284.581996,7266.710897,-0.245328,936.796477,6.333957,16.928052,154.930718,5.453602
1073-20131212111714.txt,13,208,921,6036.078348,6094.056912,0.960534,1160.840538,5.042197,17.825384,204.880097,6.517282
1074-20131212185239.txt,13,208,991,7927.403778,7900.193835,-0.343239,1126.226665,8.136467,31.142982,186.356375,5.857832
1076-20131212173759.txt,13,208,968,3338.098789,4109.742907,23.116276,944.467542,5.021354,13.686808,151.047323,5.634168
1077-20131212185118.txt,13,208,1397,12278.826939,12227.855071,-0.415120,982.390269,4.807591,31.679573,194.370630,5.009688
1078-20131212191225.txt,13,208,898,7564.328518,7496.432847,-0.897577,896.867384,2.063584,17.317817,161.173094,5.506874
1079-20131212121802.txt,13,208,1279,9192.130177,9135.466378,-0.616438,1061.167640,4.242572,20.182547,153.756703,4.958925
1080-20131212184014.txt,13,208,521,1596.216153,1837.795086,15.134475,972.522293,2.104814,15.850471,209.277240,6.097983
1082-20131211090042.txt,13,208,939,11543.034327,11731.240373,1.630473,1468.040910,1.895598,14.771166,161.065125,6.188916
1087-20131212123149.txt,13,208,1610,10960.292449,10991.359969,0.283455,978.921870,3.488974,13.845155,153.239715,5.528455
1091-20131211160136.txt,13,208,867,5797.018500,5818.145440,0.364445,965.109686,2.267348,15.191912,150.707104,5.571122
109-20131212175518.txt,13,208,1346,18023.005491,18354.948305,1.841773,867.684514,1.915868,14.038677,152.388528,5.643273
1097-20131207101431.txt,13,208,995,8515.164678,8396.369622,-1.395100,920.137525,4.185400,21.935607,148.054473,5.741048
1098-20131212145939.txt,13,208,1753,12170.382731,12111.080605,-0.487266,952.943479,5.897199,15.332697,153.468799,5.986170
1099-20131211204245.txt,13,208,1914,11152.463221,11357.360038,1.837234,900.635935,5.004308,15.925113,179.773296,5.513096
1101-20131211085103.txt,13,208,845,12867.909018,12960.035674,0.715941,940.215745,3.131900,14.853989,143.902068,4.843133
110-20131212181018.txt,13,208,1537,8161.521217,8382.738604,2.710492,1015.222434,5.681488,15.756319,171.998216,4.927506
1102-20131210160005.txt,13,208,748,5304.779293,5332.148418,0.515933,898.290961,1.243242,15.292494,146.101225,5.172453
1103-20131212184627.txt,13,208,1464,12682.235762,12583.950632,-0.774983,915.483396,6.228035,14.907062,144.200883,5.102102
1106-20131212161107.txt,13,208,659,4527.720790,4588.551547,1.343518,920.905735,1.396290,16.559358,206.276024,5.243698
1107-20131212165927.txt,13,208,287,2083.058228,2110.519695,1.318324,859.240000,1.051611,15.611128,153.308355,5.394962
1108-20131212174714.txt,13,208,1184,9518.672953,9405.643415,-1.187451,913.402721,4.019345,14.145169,156.043257,6.185804
1109-20131212181119.txt,13,208,570,5521.425904,5484.048243,-0.676957,921.066942,2.850423,20.245980,150.170137,5.175440
1110-20131212145219.txt,13,208,1503,11920.675347,11820.700936,-0.838664,1005.331517,2.892983,15.692042,163.444594,6.811793
1111-20131212181554.txt,13,208,1675,13329.558202,13481.140601,1.137190,1009.974386,4.082398,16.728620,167.659778,5.899059
111-20131107195522.txt,13,208,1249,10386.606675,10387.062309,0.004387,914.273341,4.440547,15.021026,152.628434,5.856655
1113-20131212184949.txt,13,208,548,4970.855189,5115.921650,2.918340,998.313218,1.049868,14.912582,144.384445,5.143722
1115-20131212131206.txt,13,208,1908,28524.643243,28554.278053,0.103892,926.236486,3.907359,14.133628,140.381021,5.276529
1116-20131212191605.txt,13,208,526,4959.343264,4923.911071,-0.714453,900.655826,1.866233,19.642945,166.854986,5.726471
1117-20131212191619.txt,13,208,869,6087.105202,5998.160490,-1.461199,988.034711,1.672709,14.792799,160.199642,5.985402
1118-20131212050655.txt,13,208,1371,12020.549636,11904.515648,-0.965297,877.922274,4.929925,16.547127,149.879597,5.552482
1119-20131212081128.txt,13,208,1408,11978.271131,12003.144213,0.207652,914.536922,4.219576,15.464632,157.628888,5.867537
11-20131212173849.txt,13,208,545,3861.785573,3815.543622,-1.197424,913.238646,3.544699,14.285509,149.448350,5.195124
1121-20131130115014.txt,13,208,296,1347.772726,1489.061552,10.483134,939.143996,8.243468,15.646747,158.551135,4.913391
112-20131105193039.txt,13,208,1268,9985.295353,9996.751210,0.114727,909.219707,2.809396,13.701873,149.849885,5.331517
1122-20131212185217.txt,13,208,1262,9468.387032,9440.471049,-0.294834,932.326245,4.862189,15.506162,159.865258,6.093053
1123-20131212165507.txt,13,208,1592,8776.521685,8784.030694,0.085558,953.992280,11.053482,14.500308,143.024714,5.360528
1125-20131130125644.txt,13,208,477,3381.759427,3445.675573,1.890026,906.918012,4.774855,14.487295,152.493823,5.403832
1126-20131212162838.txt,13,208,1174,7559.016972,7686.480815,1.686249,914.161079,5.638216,15.127963,242.502109,9.028090
113-20131103112155.txt,13,208,1710,14160.243467,14109.182387,-0.360595,951.901058,4.858046,14.036649,147.561719,6.231358
1135-20131205194910.txt,13,208,999,628.173562,1603.862925,155.321621,938.410054,4.217890,16.594749,150.157564,5.369397
114-20131211204516.txt,13,208,727,5008.578022,4931.086035,-1.547185,990.234618,3.393641,15.825081,210.752373,6.238211
1143-20131202152906.txt,13,208,1418,5141.665730,5541.897193,7.784082,951.513164,3.483672,15.772607,144.886578,5.893333
1145-20131202201633.txt,13,208,1503,1297.467761,3630.421131,179.808196,913.360339,4.171446,16.862795,152.628835,5.013548
1146-20131203121848.txt,13,208,924,3555.997049,3771.314575,6.055054,867.569127,4.661613,15.151212,159.955163,5.389833
1147-20131212183114.txt,13,208,1815,13743.420430,14100.709963,2.599713,923.123701,4.329829,15.913859,155.713666,5.835053
1148-20131209133728.txt,13,208,794,6174.605438,6096.917643,-1.258182,903.939651,3.219589,14.331906,153.369273,5.371768
1151-20131212193014.txt,13,208,715,5750.380652,5705.903286,-0.773468,912.030514,1.664255,15.256854,145.206229,5.999373
115-20131212172119.txt,13,208,1688,9639.591678,10945.013032,13.542289,919.328103,5.190581,17.760035,164.976108,6.512850
1152-20131210151817.txt,13,208,1334,5117.797400,5346.344102,4.465724,953.413380,4.044527,31.330601,204.117524,5.446606
