challenge,tgen,tsplit,tsign,tver,resWithNonces
0,75.22,171.774,219.754,197.928,SUCCESS
1,78.153,192.339,220.212,254.971,SUCCESS
0,78.305,183.178,225.275,213.345,SUCCESS
0,88.656,209.558,244.804,232.868,SUCCESS
1,84.779,201.717,232.556,266.443,SUCCESS
0,84.771,184.73,222.689,226.623,SUCCESS
1,81.084,228.883,253.12,264.905,SUCCESS
1,90.212,250.264,256.553,289.792,SUCCESS
1,72.84,423.372,596.182,710.982,SUCCESS
1,101.636,224.401,234.245,374.205,SUCCESS
1,83.767,190.512,238.244,306.093,SUCCESS
2,76.67,182.221,270.711,229.844,SUCCESS
2,78.116,215.438,251.67,248.342,SUCCESS
0,75.819,220.908,224.53,216.257,SUCCESS
0,78.088,177.246,217.981,237.179,SUCCESS
2,78.96,181.854,217.616,273.928,SUCCESS
2,72.007,174.286,212.778,344.59,SUCCESS
0,84.342,210.913,241.881,216.005,SUCCESS
2,86.528,205.317,226.01,252.097,SUCCESS
0,82.45,200.649,242.061,265.199,SUCCESS
0,107.942,211.065,268.835,234.311,SUCCESS
2,85.204,214.235,227.953,259.268,SUCCESS
2,77.561,210.541,234.838,302.211,SUCCESS
1,77.945,206.673,228.024,253.251,SUCCESS
2,80.283,200.704,250.363,261.847,SUCCESS
1,75.93,210.218,255.082,237.238,SUCCESS
2,86.637,175.561,278.267,254.02,SUCCESS
0,79.104,195.948,287.705,223.891,SUCCESS
0,76.718,239.084,303.034,220.382,SUCCESS
0,78.243,182.498,259.863,218.041,SUCCESS
1,73.448,188.859,244.817,281.125,SUCCESS
0,82.543,183.18,274.756,264.72,SUCCESS
1,83.341,193.325,246.664,265.069,SUCCESS
1,89.3,206.912,247.739,289.774,SUCCESS
2,78.841,188.459,252.649,269.321,SUCCESS
0,79.438,193.709,264.517,238.584,SUCCESS
0,82.286,209.959,257.923,236.556,SUCCESS
2,85.477,222.895,274.99,282.705,SUCCESS
1,84.396,211.58,265.936,277.448,SUCCESS
2,86.797,241.401,292.015,288.172,SUCCESS
2,84.748,222.217,327.038,287.157,SUCCESS
0,85.82,227.107,260.215,227.613,SUCCESS
2,81.219,278.813,247.5,273.344,SUCCESS
2,87.938,224.084,266.971,271.951,SUCCESS
1,84.56,213.299,250.496,267.444,SUCCESS
1,76.053,185.964,249.923,251.106,SUCCESS
0,76.598,181.763,243.22,216.966,SUCCESS
1,74.137,168.473,232.374,249.551,SUCCESS
2,74.814,193.956,226.73,279.285,SUCCESS
1,74.257,182.087,231.877,275.857,SUCCESS
0,83.372,193.035,232.843,217.588,SUCCESS
2,81.44,198.256,259.156,241.037,SUCCESS
2,76.673,184.13,233.949,242.236,SUCCESS
0,74.84,189.108,229.049,215.629,SUCCESS
0,75.147,184.844,252.598,221.887,SUCCESS
2,79.143,173.24,227.605,250.599,SUCCESS
2,73.513,177.173,225.531,252.118,SUCCESS
1,77.61,178.941,273.655,261.173,SUCCESS
2,87.382,195.48,260.319,252.905,SUCCESS
0,76.746,202.725,223.028,213.152,SUCCESS
2,79.661,171.769,235.405,251.753,SUCCESS
2,76.804,187.205,228.064,253.388,SUCCESS
0,74.886,188.128,223.851,217.54,SUCCESS
0,81.346,192.406,225.512,206.992,SUCCESS
2,87.476,182.24,229.459,255.367,SUCCESS
0,80.882,187.271,224.611,208.134,SUCCESS
1,79.505,190.897,224.092,271.365,SUCCESS
1,73.9,180.626,219.544,269.967,SUCCESS
2,74.528,178.764,230.756,256.592,SUCCESS
0,80.137,189.719,225.426,208.804,SUCCESS
0,80.547,173.933,216.968,221.79,SUCCESS
2,80.939,185.612,224.031,242.066,SUCCESS
0,77.073,189.962,249.495,208.128,SUCCESS
1,74.545,184.611,219.402,246.646,SUCCESS
2,80.633,185.053,227.4,250.705,SUCCESS
1,75.901,175.909,223.994,248.465,SUCCESS
0,74.677,177.446,213.511,215.492,SUCCESS
1,82.37,176.84,232.455,240.058,SUCCESS
1,79.481,196.274,213.986,245.879,SUCCESS
2,83.834,180.873,220.839,255.994,SUCCESS
2,81.284,191.936,213.052,245.931,SUCCESS
0,79.521,178.404,210.464,211.047,SUCCESS
0,76.434,195.297,215.141,218.767,SUCCESS
2,77.625,194.675,216.15,242.703,SUCCESS
2,75.745,174.722,214.621,247.495,SUCCESS
0,81.167,182.162,213.27,213.941,SUCCESS
1,84.812,186.531,210.58,244.579,SUCCESS
0,84.736,195.071,219.563,209.756,SUCCESS
2,73.165,177.504,212.061,249.276,SUCCESS
1,78.087,174.793,224.924,275.593,SUCCESS
2,74.288,183.383,213.832,251.813,SUCCESS
2,84.606,174.346,222.631,245.985,SUCCESS
2,75.348,175.723,225.484,243.95,SUCCESS
2,74.37,211.954,274.861,243.345,SUCCESS
1,81.872,192.857,216.291,249.862,SUCCESS
0,83.566,181.689,214.802,209.701,SUCCESS
2,74.071,177.474,220.685,246.396,SUCCESS
1,77.883,182.557,219.849,233.307,SUCCESS
2,82.268,171.576,218.2,251.458,SUCCESS
2,83.332,184.903,256.846,245.786,SUCCESS
0,77.182,185.19,226.72,215.088,SUCCESS
1,80.768,193.007,216.958,236.068,SUCCESS
0,80.461,198.646,223.071,214.435,SUCCESS
0,80.484,215.068,227.58,210.268,SUCCESS
1,75.993,204.177,228.478,253.106,SUCCESS
1,78.095,167.736,218.614,238.559,SUCCESS
2,72.257,185.484,231.711,240.824,SUCCESS
1,74.237,190.113,218.357,267.224,SUCCESS
1,75.237,182.543,221.094,251.299,SUCCESS
2,91.667,178.791,232.438,240.84,SUCCESS
2,79.473,192.929,228.083,241.494,SUCCESS
0,73.115,170.181,222.892,222.845,SUCCESS
1,81.321,186.694,226.147,240.343,SUCCESS
1,77.05,170.464,221.557,248.077,SUCCESS
2,72.13,176.008,220.139,247.519,SUCCESS
1,74.415,191.314,229.583,246.337,SUCCESS
2,78.104,191.37,215.831,245.385,SUCCESS
1,76.795,179.446,220.985,260.963,SUCCESS
0,78.703,183.189,213.152,222.773,SUCCESS
2,73.395,194.494,218.908,255.097,SUCCESS
2,79.976,179.18,227.83,245.428,SUCCESS
2,82.854,195.13,231.158,245.977,SUCCESS
2,82.172,179.766,232.011,249.728,SUCCESS
2,76.938,190.243,210.888,243.895,SUCCESS
2,79.436,171.378,232.957,239.984,SUCCESS
1,77.576,184.083,220.09,241.159,SUCCESS
0,75.711,193.026,216.628,214.363,SUCCESS
0,74.911,184.795,231.325,204.06,SUCCESS
1,74.124,170.539,224.499,252.955,SUCCESS
2,83.579,195.873,216.64,244.077,SUCCESS
0,71.39,160.12,215.539,221.399,SUCCESS
1,74.338,187.41,211.513,245.087,SUCCESS
0,73.903,189.38,219.522,213.9,SUCCESS
2,75.597,176.486,216.53,261.398,SUCCESS
0,76.914,193.189,221.143,205.814,SUCCESS
1,75.456,187.17,226.209,256.854,SUCCESS
2,88.044,193.616,230.541,250.085,SUCCESS
2,78.23,177.723,230.074,248.747,SUCCESS
0,88.296,185.561,230.648,219.79,SUCCESS
2,78.533,174.812,235.528,247.351,SUCCESS
2,81.424,188.879,219.169,237.586,SUCCESS
1,74.544,178.576,217.578,247.318,SUCCESS
1,82.65,195.186,235.015,242.094,SUCCESS
1,74.253,174.696,213.691,257.953,SUCCESS
2,77.925,183.507,254.037,235.447,SUCCESS
0,83.496,186.251,230.693,208.393,SUCCESS
0,83.768,183.497,222.752,209.778,SUCCESS
1,74.37,170.525,217.742,271.735,SUCCESS
0,80.181,183.446,209.605,215.549,SUCCESS
1,74.945,180.913,217.193,259.06,SUCCESS
0,77.576,174.248,229.815,219.779,SUCCESS
0,74.093,199.644,232.235,223.468,SUCCESS
2,80.714,185.906,215.248,242.902,SUCCESS
0,75.969,189.269,266.842,221.182,SUCCESS
2,77.156,184.757,228.736,258.602,SUCCESS
2,74.06,183.014,225.685,238.125,SUCCESS
1,80.174,189.945,225.316,234.3,SUCCESS
1,76.271,189.74,214.014,244.265,SUCCESS
1,79.966,190.687,214.749,248.128,SUCCESS
0,78.17,206.918,231.361,202.742,SUCCESS
2,75.177,195.988,248.573,236.087,SUCCESS
0,81.691,198.826,261.819,209.552,SUCCESS
1,78.125,192.287,223.092,254.685,SUCCESS
1,75.158,192.917,216.559,252.913,SUCCESS
0,80.756,194.634,222.998,218.063,SUCCESS
1,80.536,194.277,222.107,242.84,SUCCESS
0,80.619,186.525,238.614,210.756,SUCCESS
1,81.427,191.826,221.053,243.473,SUCCESS
2,79.339,193.031,219.754,242.271,SUCCESS
1,77.35,169.249,249.61,261.829,SUCCESS
0,73.834,188.795,236.098,200.898,SUCCESS
2,83.592,195.067,223.869,237.044,SUCCESS
1,71.866,178.937,273.004,253.419,SUCCESS
2,84.45,175.562,241.637,235.352,SUCCESS
2,73.035,171.182,216.201,236.104,SUCCESS
2,71.789,173.781,219.466,251.168,SUCCESS
0,75.477,175.948,245.544,222.594,SUCCESS
1,73.94,179.877,231.392,255.071,SUCCESS
1,75.688,170.4,214.824,256.603,SUCCESS
0,74.057,191.577,232.494,234.822,SUCCESS
2,73.383,192.177,222.536,248.634,SUCCESS
0,75.718,175.848,216.13,203.333,SUCCESS
0,75.424,189.945,213.448,210.121,SUCCESS
2,79.466,169.071,225.793,247.717,SUCCESS
1,78.897,180.119,230.21,248.172,SUCCESS
2,82.848,180.115,216.421,241.08,SUCCESS
2,71.689,166.762,212.694,259.102,SUCCESS
2,85.447,169.875,225.797,251.684,SUCCESS
0,87.814,186.66,221.381,200.342,SUCCESS
2,77.742,191.166,215.948,255.44,SUCCESS
1,74.127,184.625,210.12,262.61,SUCCESS
2,76.926,184.923,228.649,238.999,SUCCESS
0,80.303,203.223,225.392,204.37,SUCCESS
2,75.88,187.973,220.909,247.132,SUCCESS
1,83.931,193.174,244.241,242.761,SUCCESS
0,83.423,194.978,234.298,212.284,SUCCESS
2,74.536,171.695,214.213,240.205,SUCCESS
1,78.091,177.975,219.936,242.013,SUCCESS
1,79.858,186.587,220.405,236.194,SUCCESS
0,73.645,173.604,223.846,227.034,SUCCESS
1,84.417,200.397,221.421,234.203,SUCCESS
0,76.713,190.157,218.117,208.927,SUCCESS
0,75.654,188.122,255.483,217.119,SUCCESS
1,75.798,175.684,215.488,249.985,SUCCESS
0,77.023,181.037,221.757,208.217,SUCCESS
1,73.945,192.502,260.76,267.439,SUCCESS
1,77.181,189.123,220.829,241.039,SUCCESS
2,72.32,171.148,216.908,255.132,SUCCESS
0,73.944,185.246,213.562,208.241,SUCCESS
1,74.857,193.167,227.621,248.184,SUCCESS
1,81.363,188.173,226.629,239.113,SUCCESS
2,73.078,176.204,215.005,245.669,SUCCESS
1,75.032,179.704,227.045,241.811,SUCCESS
2,75.064,186.703,225.503,244.705,SUCCESS
2,74.335,181.105,220.306,245.776,SUCCESS
1,81.349,184.602,221.233,254.475,SUCCESS
2,80.619,201.036,216.791,250.826,SUCCESS
1,78.591,175.374,222.123,252.776,SUCCESS
2,74.49,179.073,216.4,246.449,SUCCESS
0,83.642,187.932,212.159,208.547,SUCCESS
0,80.754,201.02,219.138,212.749,SUCCESS
