challenge,tgen,tsplit,tsign,tver,resWithNonces
2,31.456,84.861,58.405,73.834,SUCCESS
0,24.179,58.346,44.981,48.751,SUCCESS
2,22.71,57.101,43.658,51.522,SUCCESS
2,32.049,80.163,50.032,58.887,SUCCESS
1,25.472,62.052,47.956,72.723,SUCCESS
1,30.475,67.492,52.72,61.581,SUCCESS
2,28.875,85.58,61.718,80.961,SUCCESS
2,20.953,52.446,51.821,60.974,SUCCESS
1,21.845,59.358,41.205,51.744,SUCCESS
0,35.349,89.926,57.114,57.002,SUCCESS
2,26.723,76.826,58.062,72.474,SUCCESS
2,34.707,81.002,42.639,53.318,SUCCESS
0,34.571,90.201,62.903,75.593,SUCCESS
2,27.582,83.32,62.282,72.963,SUCCESS
2,27.846,105.874,74.742,99.129,SUCCESS
2,25.436,72.396,44.317,57.519,SUCCESS
1,31.377,78.353,67.823,88.551,SUCCESS
0,25.588,71.144,45.87,51.461,SUCCESS
1,28.464,62.525,51.572,68.701,SUCCESS
2,26.341,71.989,59.035,64.966,SUCCESS
2,87.978,107.128,70.431,75.007,SUCCESS
2,37.255,88.082,54.373,78.328,SUCCESS
0,34.981,88.657,65.672,80.222,SUCCESS
2,28.442,75.583,72.017,82.249,SUCCESS
2,35.045,86.007,63.344,84.765,SUCCESS
1,26.497,64.988,46.587,55.843,SUCCESS
1,35.688,79.164,48.356,54.539,SUCCESS
1,26.414,65.457,46.891,55.534,SUCCESS
1,32.483,105.378,59.614,60.114,SUCCESS
0,31.838,74.354,59.695,68.874,SUCCESS
1,36.131,79.873,47.379,54.666,SUCCESS
2,35.825,80.872,48.915,57.345,SUCCESS
1,29.763,76.903,47.14,73.421,SUCCESS
0,21.93,56.154,48.34,62.559,SUCCESS
0,28.118,66.434,44.059,61.649,SUCCESS
2,24.28,65.805,47.757,61.817,SUCCESS
2,37.504,83.879,52.726,65.073,SUCCESS
0,36.736,92.167,61.248,70.592,SUCCESS
1,22.322,60.568,44.735,60.428,SUCCESS
0,26.773,60.049,43.982,49.956,SUCCESS
2,31.904,61.827,44.145,54.606,SUCCESS
1,23.656,66.348,44.624,56.586,SUCCESS
1,30.938,64.164,42.237,60.601,SUCCESS
2,27.495,73.167,59.007,62.894,SUCCESS
0,25.263,74.491,58.904,77.797,SUCCESS
1,23.565,58.867,45.544,60.969,SUCCESS
2,25.311,64.978,44.179,55.185,SUCCESS
2,34.9,89.824,58.512,55.127,SUCCESS
0,38.242,100.99,47.352,51.004,SUCCESS
0,26.4,65.203,44.038,49.632,SUCCESS
1,37.685,64.598,42.248,51.791,SUCCESS
0,32.961,87.211,63.776,78.098,SUCCESS
0,26.1,69.735,62.806,74.933,SUCCESS
0,24.968,64.917,51.782,77.994,SUCCESS
2,34.804,68.693,45.298,55.179,SUCCESS
1,35.049,97.183,63.64,60.352,SUCCESS
0,23.941,82.805,61.425,75.473,SUCCESS
0,22.312,53.888,43.314,65.322,SUCCESS
1,21.574,65.354,45.529,61.588,SUCCESS
2,22.115,57.526,48.782,75.616,SUCCESS
2,27.4,86.236,64.262,92.193,SUCCESS
1,22.968,62.623,47.543,65.112,SUCCESS
1,35.789,72.536,49.339,61.077,SUCCESS
1,37.552,77.709,47.689,56.529,SUCCESS
1,31.438,64.103,52.498,76.697,SUCCESS
2,25.513,66.051,56.102,70.697,SUCCESS
2,22.857,59.161,48.584,60.507,SUCCESS
1,23.001,72.653,47.628,50.28,SUCCESS
1,33.392,87.076,64.623,83.08,SUCCESS
0,32.47,91.334,61.455,59.86,SUCCESS
1,28.132,71.239,51.269,57.421,SUCCESS
1,30.753,59.537,42.896,53.354,SUCCESS
2,35.393,92.581,63.1,60.419,SUCCESS
1,28.027,80.629,58.781,74.178,SUCCESS
0,24.239,63.275,44.75,52.198,SUCCESS
1,29.606,63.46,49.856,51.513,SUCCESS
0,33.191,94.53,51.212,60.19,SUCCESS
0,32.485,103.417,75.017,80.16,SUCCESS
2,25.214,68.739,51.445,81.834,SUCCESS
2,29.497,77.022,55.466,74.724,SUCCESS
2,28.481,69.951,61.375,63.474,SUCCESS
0,28.514,78.236,65.898,73.673,SUCCESS
2,23.944,72.382,68.483,90.212,SUCCESS
2,24.934,65.368,46.772,59.262,SUCCESS
1,26.369,60.514,42.971,55.146,SUCCESS
0,24.237,56.514,46.146,69.571,SUCCESS
1,25.517,68.446,52.081,74.726,SUCCESS
0,27.031,67.013,46.244,51.807,SUCCESS
0,28.009,81.301,43.467,51.042,SUCCESS
0,33.97,76.773,60.209,61.638,SUCCESS
1,20.313,64.453,57.881,78.2,SUCCESS
1,29.598,71.125,60.731,90.108,SUCCESS
1,21.962,58.396,44.178,66.083,SUCCESS
2,24.967,64.029,59.152,82.153,SUCCESS
1,22.903,62.195,56.229,62.779,SUCCESS
2,21.75,58.303,44.972,50.912,SUCCESS
0,33.212,76.015,44.696,54.245,SUCCESS
2,31.324,87.665,51.578,62.622,SUCCESS
2,30.01,89.76,68.525,91.417,SUCCESS
0,24.197,59.884,43.33,57.282,SUCCESS
1,27.208,72.221,46.01,63.61,SUCCESS
1,30.913,92.942,52.565,59.283,SUCCESS
2,33.261,76.102,57.817,73.122,SUCCESS
2,24.273,67.731,58.672,71.546,SUCCESS
0,31.568,67.216,48.216,56.538,SUCCESS
0,31.383,83.039,62.641,54.32,SUCCESS
0,30.717,103.19,69.751,73.393,SUCCESS
0,22.386,55.041,51.801,67.711,SUCCESS
2,29.896,82.155,60.283,61.792,SUCCESS
2,25.408,68.216,53.551,65.39,SUCCESS
1,29.303,82.675,59.926,72.291,SUCCESS
1,31.931,89.587,45.337,55.914,SUCCESS
1,29.649,82.147,59.68,80.532,SUCCESS
1,33.193,59.813,44.133,54.258,SUCCESS
0,30.82,77.653,48.897,54.748,SUCCESS
0,23.185,60.67,44.939,50.447,SUCCESS
1,35.041,87.99,51.59,60.314,SUCCESS
0,35.018,90.631,51.871,66.914,SUCCESS
0,21.99,62.498,64.434,81.383,SUCCESS
2,28.268,66.967,74.595,89.28,SUCCESS
1,29.986,91.188,57.587,58.592,SUCCESS
0,44.962,102.311,63.133,55.931,SUCCESS
2,25.753,57.472,43.694,54.178,SUCCESS
1,37.237,95.984,59.465,53.274,SUCCESS
1,24.032,66.298,64.904,72.314,SUCCESS
0,24.704,63.368,44.441,60.616,SUCCESS
0,31.883,65.989,44.9,61.982,SUCCESS
2,33.053,84.015,64.088,72.284,SUCCESS
0,31.235,82.927,71.118,77.327,SUCCESS
2,23.325,66.062,61.825,78.275,SUCCESS
1,29.529,75.272,51.76,60.268,SUCCESS
1,32.861,84.958,51.721,76.671,SUCCESS
2,36.599,88.338,53.636,80.358,SUCCESS
2,30.641,97.67,71.46,90.773,SUCCESS
2,24.333,54.884,55.894,78.859,SUCCESS
1,34.729,76.763,46.56,54.564,SUCCESS
1,23.756,79.845,56.49,75.024,SUCCESS
0,26.597,63.716,48.834,70.446,SUCCESS
1,27.17,64.982,45.58,54.149,SUCCESS
0,27.777,63.943,43.508,51.74,SUCCESS
1,31.117,88.646,62.669,75.693,SUCCESS
2,26.233,70.211,61.665,83.478,SUCCESS
2,26.403,69.784,54.379,55.926,SUCCESS
0,31.136,66.817,46.155,53.21,SUCCESS
0,39.278,104.596,68.801,58.909,SUCCESS
0,43.072,107.1,45.461,52.662,SUCCESS
1,24.866,61.263,46.814,58.213,SUCCESS
1,29.549,74.667,46.283,59.146,SUCCESS
1,29.892,86.939,48.084,53.34,SUCCESS
2,34.782,83.303,59.21,62.449,SUCCESS
2,22.973,63.957,61.67,74.026,SUCCESS
1,24.913,59.438,45.371,57.625,SUCCESS
2,32.87,78.147,63.135,60.935,SUCCESS
0,28.88,94.581,67.213,76.377,SUCCESS
2,25.434,70.7,72.317,66.044,SUCCESS
0,31.84,82.857,65.176,81.439,SUCCESS
1,25.319,53.294,43.955,59.059,SUCCESS
2,26.52,59.698,49.811,64.401,SUCCESS
1,33.147,88.585,62.028,82.334,SUCCESS
1,23.175,61.042,59.863,80.733,SUCCESS
1,25.556,64.864,44.627,60.51,SUCCESS
2,23.97,58.988,59.629,64.689,SUCCESS
2,24.578,54.752,52.185,70.43,SUCCESS
2,24.014,62.735,44.155,56.694,SUCCESS
0,38.323,64.17,44.896,53.639,SUCCESS
0,29.478,83.421,57.646,51.135,SUCCESS
0,30.517,86.88,69.696,69.137,SUCCESS
0,25.241,74.803,56.199,84.399,SUCCESS
1,26.969,66.982,44.344,60.132,SUCCESS
0,32.797,70.894,43.506,49.245,SUCCESS
1,38.239,80.511,64.565,58.17,SUCCESS
0,29.692,75.925,67.145,55.607,SUCCESS
0,25.359,63.483,46.414,59.715,SUCCESS
2,26.371,79.296,45.539,59.085,SUCCESS
0,26.737,80.775,61.665,76.615,SUCCESS
0,22.86,55.068,54.2,63.008,SUCCESS
0,22.255,68.195,47.93,50.847,SUCCESS
0,23.912,67.744,59.802,48.923,SUCCESS
1,38.462,97.231,74.138,92.591,SUCCESS
0,27.022,70.75,56.299,73.875,SUCCESS
2,26.272,63.175,46.926,54.715,SUCCESS
1,26.814,66.924,50.098,65.987,SUCCESS
1,24.187,56.011,45.307,68.141,SUCCESS
1,29.971,68.902,53.254,78.176,SUCCESS
2,25.906,68.064,45.498,54.028,SUCCESS
1,37.397,67.254,42.305,53.972,SUCCESS
1,34.946,100.998,50.662,56.072,SUCCESS
0,40.167,85.72,46.344,53.142,SUCCESS
0,19.911,59.394,45.546,54.188,SUCCESS
1,36.362,66.382,43.973,63.462,SUCCESS
2,36.412,75.926,63.144,62.759,SUCCESS
1,28.419,102.434,74.561,93.752,SUCCESS
0,23.534,59.806,42.95,55.659,SUCCESS
1,23.39,60.31,43.371,58.382,SUCCESS
0,34.06,86.659,60.211,59.676,SUCCESS
1,24.634,92.866,69.989,81.237,SUCCESS
0,26.689,61.652,51.852,65.468,SUCCESS
1,25.045,65.889,45.115,55.646,SUCCESS
2,23.312,64.925,88.706,61.811,SUCCESS
2,40.813,75.664,63.686,73.641,SUCCESS
1,23.585,66.577,45.642,73.438,SUCCESS
1,21.633,56.763,43.382,52.66,SUCCESS
0,27.795,57.507,43.418,47.084,SUCCESS
1,23.34,68.017,44.993,52.34,SUCCESS
1,27.899,65.377,45.324,62.979,SUCCESS
