Name,logn,logq,RealRes,RealResPol,result,error,errorPol,tinit,tcsv,tenc,tdist,tdec,in_mean,in_std,in_min,in_max
Data/dataUsedFor1k/MAC000003.txt10,12,106,293.848800,324.238864,324.281756,10.356672,0.013228,138.348324,17.568105,109.698513,1056.785930,75.663151,0.566232,0.960240,0.000000,3.792000
Data/dataUsedFor1k/MAC000003.txt11,12,106,232.026301,258.948989,258.894978,11.580013,-0.020858,138.348324,17.568105,109.698513,1056.785930,75.663151,0.475153,0.829295,0.000000,3.575000
Data/dataUsedFor1k/MAC000003.txt12,12,106,247.920800,276.096393,276.077017,11.356940,-0.007018,138.348324,17.568105,109.698513,1056.785930,75.663151,0.497699,0.869301,0.000000,3.366000
Data/dataUsedFor1k/MAC000003.txt13,12,106,249.528300,279.174686,279.206866,11.893868,0.011527,138.348324,17.568105,109.698513,1056.785930,75.663151,0.504494,0.870718,0.000000,3.693000
Data/dataUsedFor1k/MAC000003.txt14,12,106,208.810399,232.692823,232.763376,11.471161,0.030321,138.348324,17.568105,109.698513,1056.785930,75.663151,0.402208,0.842639,0.000000,3.757000
Data/dataUsedFor1k/MAC000003.txt15,12,106,71.484000,76.663852,76.659519,7.240108,-0.005652,138.348324,17.568105,109.698513,1056.785930,75.663151,0.174521,0.282262,0.000000,1.514000
Data/dataUsedFor1k/MAC000003.txt16,12,106,66.154600,72.449828,72.394051,9.431621,-0.076986,138.348324,17.568105,109.698513,1056.785930,75.663151,0.161510,0.283912,0.000000,1.523000
Data/dataUsedFor1k/MAC000003.txt17,12,106,67.636800,73.270233,73.317853,8.399353,0.064993,138.348324,17.568105,109.698513,1056.785930,75.663151,0.165129,0.278178,0.000000,1.729000
Data/dataUsedFor1k/MAC000003.txt18,12,106,67.133800,71.990570,71.843960,7.016078,-0.203652,138.348324,17.568105,109.698513,1056.785930,75.663151,0.163901,0.264468,0.000000,1.537000
Data/dataUsedFor1k/MAC000003.txt19,12,106,63.603200,69.211526,69.243291,8.867621,0.045895,138.348324,17.568105,109.698513,1056.785930,75.663151,0.155281,0.265565,0.000000,1.526000
Data/dataUsedFor1k/MAC000003.txt20,12,106,67.014800,72.535032,72.459436,8.124527,-0.104220,138.348324,17.568105,109.698513,1056.785930,75.663151,0.163610,0.274601,0.000000,1.573000
Data/dataUsedFor1k/MAC000003.txt21,12,106,63.353400,69.488892,69.507441,9.713829,0.026693,138.348324,17.568105,109.698513,1056.785930,75.663151,0.154671,0.273132,0.000000,1.559000
